Date ;,"Wednesday, May 28, 2025",,,GHAZI HOLDINGS (Actual Sale),,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,,MORVEN,CLASSIC,DIPLO,"RED 
&
WHITE","MARLBORO 
GOLD","CRAFTED BY 
MLB",Parliament,"Cool Mint
2 DOT
6 MG","Cool Mint
3 DOT
11 MG","Cool Mint
5 DOT
14 MG","Sour Ruby
2 DOT
6 MG","Sour Ruby
3 DOT
11MG","Cool Blue Berry
2 DOT
6 MG","Cool Blue Berry
3 DOT
11 MG","Fresh Mint
6 MG","Fresh Mint
11 MG","Cool Water Melon
6MG","Cool Water Melon
11MG",Total,,,,,,,,
Opening,, 92.200 , 8.100 , 13.600 , 19.940 , 11.320 , 6.000 , -   , (1.360), 0.260 , 0.080 , 1.960 , 1.400 , 1.500 , 0.420 , 0.020 , 0.200 , 0.280 , 0.620 , 155.440 ,,,,,,,,
Liffting from PMPKL,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,
Lifting from other,, -   , -   ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,Old Cash,,7483806.227
Total,, 92.200 , 8.100 , 13.600 , 19.940 , 11.320 , 6.000 , -   , (1.360), 0.260 , 0.080 , 1.960 , 1.400 , 1.500 , 0.420 , 0.020 , 0.200 , 0.280 , 0.620 , 155.440 ,,,,,,,,
Whole Sale Rate,,11520.00,8018.29,8985.00,9489.94,26806.97,0.00,9474.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74294.51,1,,2,,3,,Expenses,Amount
Retail Rate,,11570.00,8049.59,9021.00,9527.00,26865.00,7900.00,10491.20,6857.00,8291.00,9201.20,6857.00,8291.00,6857.00,8291.00,6857.00,8291.00,6857.00,8291.00,168364.99,Recovery,Credit,Recovery,Credit,Recovery,Credit,,
"AMIR
DSR 01",Whole Sale,,,,,,,,,,,,,,,,,,, -   , Petrol ,, MOTOR CYCLE ,, CASH SHORT ,,," 59,220.14 "
,W Scheme,,,,,,,,,,,,,,,,,,, -   ,, 312 ,,,,430,,
,Retail, 4.200 , 0.400 , 0.100 , 0.600 ,, 0.200 ,,,,,,,,,,,,, 5.500 , TK REWARD  ,, CRAFTED FOILS ,, WHOLESALE  ,,,
,T.O  (TK),,,,,,,,,,,,,,,,,,, -   ,,,,50,,,,
,Foils,,,,,,,,,,,,,,,,,,, -   , UBL+Jazz Cash ,, CRAFTED SCHEME ,, ZYN SCHEME  ,,,
,C. Discount,,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Total Cash," 48,594 "," 3,220 ", 902 ," 5,716 ", -   ," 1,580 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 60,012.136 ",,,,,,,,
"WASEEM 
DSR 02",Whole Sale,,,,,,,,,,,,,,,,,,, -   , Petrol ,, MOTOR CYCLE ,, CASH SHORT ,,," 33,550.09 "
,W Scheme,,,,,,,,,,,,,,,,,,, -   ,, 351 ,,700,,848.9,,
,Retail, 2.500 , 1.000 ,, 0.200 ,,,,,,,,,,,,,,, 3.700 , TK REWARD  ,, CRAFTED FOILS ,, WHOLESALE  ,,,
,T.O  (TK),,,,,,,,,,,,,,,,,,, -   ,,,,,,,,
,Foils,,,,,,,,,,,,,,,,,,, -   , UBL+Jazz Cash ,, CRAFTED SCHEME ,, ZYN SCHEME  ,,,
,C. Discount,,,,,,,,,,,,,,,,,,, -   ,," 3,430 ",,,,,,
,Total Cash," 28,925 "," 8,050 ", -   ," 1,905 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 38,879.990 ",,,,,,,,
